,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
305,ISO-Oph 176,Natta 2006,0.031389999999999994,0.6,8.320000000000001e-11,,4.2089314217085943e-10,,4.2089314217085943e-10
306,ISO-Oph 177,Natta 2006,0.1905461,1.86,2.19e-10,,3.892339821023258e-10,,3.892339821023258e-10
307,ISO-Oph 178,Natta 2006,0.1698244,1.73,1.66e-09,,6.263874279828112e-09,,6.263874279828112e-09
308,ISO-Oph 179,Natta 2006,0.128825,1.53,3.8e-09,,5.484639119332992e-10,,5.484639119332992e-10
309,ISO-Oph 180,Natta 2006,,,,,,,
310,ISO-Oph 181,Natta 2006,,,,,,,
311,ISO-Oph 183,Natta 2006,0.3019952,2.26,9.33e-10,,1.184025358598922e-09,,1.184025358598922e-09
312,ISO-Oph 185,Natta 2006,0.1071519,1.36,3.31e-11,,1.1287308094471467e-10,,1.1287308094471467e-10
313,ISO-Oph 186,Natta 2006,0.1071519,1.36,5.13e-10,,1.7071022416739678e-09,,1.7071022416739678e-09
314,ISO-Oph 187,Natta 2006,0.23988330000000002,2.04,1.1200000000000001e-08,,1.1512640404563377e-08,,1.1512640404563377e-08
315,ISO-Oph 189,Natta 2006,0.1380384,1.62,7.939999999999999e-10,,1.2679302956166577e-09,,1.2679302956166577e-09
316,ISO-Oph 190,Natta 2006,,0.91,,,,,
317,ISO-Oph 192,Natta 2006,0.09120110000000001,1.21,5.89e-10,,9.953379307853839e-10,,9.953379307853839e-10
318,ISO-Oph 193,Manara 2015,0.058417,0.42,5.01e-10,1.7338650196353702e-09,9.586003684937485e-10,,1.3462326940645594e-09
319,ISO-Oph 193,Natta 2006,0.058417,0.42,4.79e-10,,6.867777398603704e-10,,6.867777398603704e-10
320,ISO-Oph 194,Natta 2006,0.1698244,1.75,2.51e-10,,6.881100606352327e-10,,6.881100606352327e-10
321,ISO-Oph 195,Natta 2006,0.3890451,2.42,1.62e-09,,2.4324553361559035e-09,,2.4324553361559035e-09
322,ISO-Oph 196,Natta 2006,0.1905461,1.86,3.7200000000000004e-09,,4.9364688295585994e-09,,4.9364688295585994e-09
323,ISO-Oph 197,Natta 2006,0.0794328,1.08,1.8200000000000002e-10,,3.7384639657576457e-10,,3.7384639657576457e-10
324,ISO-Oph 198,Natta 2006,1.1748976,0.64,3.02e-09,,5.468753003204223e-10,,5.468753003204223e-10
325,ISO-Oph 199,Natta 2006,0.41686940000000006,2.48,4.9e-09,,2.0375907958094083e-09,,2.0375907958094083e-09
326,2MASS J11095215-7639128,Muzerolle 2005,0.08,0.64,1e-10,,,,
327,2MASS J11104141-7720480,Muzerolle 2005,0.08,0.62,1e-10,1.2841905717859784e-11,,,1.2841905717859784e-11
328,2MASS J06443291+0023546,Kalari 2015,1.79,2.75,1.2e-07,1.3431306924949615e-07,,,1.3431306924949615e-07
329,2MASS J06443294+0010528,Kalari 2015,1.83,2.88,5.75e-07,5.139136082502691e-07,,,5.139136082502691e-07
330,2MASS J06443541+0019093,Kalari 2015,1.57,2.31,1.1699999999999999e-08,2.097594078781671e-08,,,2.097594078781671e-08
331,2MASS J06443682+0016186,Kalari 2015,1.6,1.79,3.16e-08,4.451465904788767e-09,,,4.451465904788767e-09
332,2MASS J06443788+0021509,Kalari 2015,1.79,2.75,1.4099999999999999e-08,3.3825491686465545e-08,,,3.3825491686465545e-08
333,2MASS J06443827+0019229,Kalari 2015,1.26,1.56,1.26e-08,2.7689713812223493e-09,,,2.7689713812223493e-09
334,2MASS J06444496+0019335,Kalari 2015,1.75,2.53,2.04e-08,1.754958573190127e-08,,,1.754958573190127e-08
335,[CRA2011] D25 J06444602+0019182,Kalari 2015,1.57,2.16,1.1e-07,3.916206045818799e-08,,,3.916206045818799e-08
336,[CRA2011] D25 J06444714+0013320,Kalari 2015,0.91,2.21,2.45e-08,1.4216161222455124e-08,,,1.4216161222455124e-08
337,2MASS J06444936+0020245,Kalari 2015,1.36,1.71,1.1200000000000001e-08,5.083934396671757e-09,,,5.083934396671757e-09
338,2MASS J06445577+0013168,Kalari 2015,2.08,3.05,6.31e-08,,,,
