#VisAO i-prime
#Effective wavelength =      0.76691462 microns
#Effective width =       0.13151942 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.881000  5.29907e-05  6.23651e-05  6.23651e-05
     0.881500  5.15763e-05  6.07350e-05  6.07350e-05
     0.882000  4.44638e-05  5.23891e-05  5.23891e-05
     0.882500  4.37090e-05  5.15290e-05  5.15290e-05
     0.883000  4.11091e-05  4.84914e-05  4.84914e-05
     0.883500  3.95742e-05  4.67073e-05  4.67073e-05
     0.884000  3.91419e-05  4.62233e-05  4.62233e-05
     0.884500  3.26928e-05  3.86292e-05  3.86292e-05
     0.885000  3.25400e-05  3.84705e-05  3.84705e-05
     0.885500  2.95696e-05  3.49784e-05  3.49784e-05
     0.886000  3.03515e-05  3.59236e-05  3.59236e-05
     0.886500  2.68519e-05  3.17995e-05  3.17995e-05
     0.887000  2.64658e-05  3.13600e-05  3.13600e-05
     0.887500  2.52282e-05  2.99103e-05  2.99103e-05
     0.888000  2.15049e-05  2.55104e-05  2.55104e-05
     0.888500  2.07580e-05  2.46383e-05  2.46383e-05
     0.889000  2.17698e-05  2.58537e-05  2.58537e-05
     0.889500  1.88404e-05  2.23874e-05  2.23874e-05
     0.890000  2.23451e-05  2.65668e-05  2.65668e-05
     0.890500  1.67152e-05  1.98844e-05  1.98844e-05
     0.891000  1.57222e-05  1.87136e-05  1.87136e-05
     0.891500  1.92147e-05  2.28834e-05  2.28834e-05
     0.892000  1.57478e-05  1.87651e-05  1.87651e-05
     0.892500  1.58138e-05  1.88543e-05  1.88543e-05
     0.893000  1.77707e-05  2.11994e-05  2.11994e-05
     0.893500  1.46022e-05  1.74293e-05  1.74293e-05
     0.894000  1.41448e-05  1.68928e-05  1.68928e-05
     0.894500  1.20997e-05  1.44584e-05  1.44584e-05
     0.895000  1.16724e-05  1.39557e-05  1.39557e-05
     0.895500  1.29090e-05  1.54427e-05  1.54427e-05
     0.896000  1.12455e-05  1.34603e-05  1.34603e-05
     0.896500  1.13799e-05  1.36287e-05  1.36287e-05
     0.897000  1.10717e-05  1.32670e-05  1.32670e-05
     0.897500  1.21359e-05  1.45503e-05  1.45503e-05
     0.898000  9.73746e-06  1.16812e-05  1.16812e-05
     0.898500  9.95871e-06  1.19533e-05  1.19533e-05
     0.899000  9.64563e-06  1.15839e-05  1.15839e-05
     0.899500  6.52067e-06  7.83537e-06  7.83537e-06
     0.900000      0.00000      0.00000      0.00000
