#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.942500     0.481937     0.538075     0.538075
     0.943000     0.479121     0.535215     0.535215
     0.943500     0.476350     0.532401     0.532401
     0.944000     0.473505     0.529503     0.529503
     0.944500     0.470638     0.526575     0.526575
     0.945000     0.467755     0.523626     0.523626
     0.945500     0.465632     0.521525     0.521525
     0.946000     0.463995     0.519967     0.519967
     0.946500     0.461190     0.517097     0.517097
     0.947000     0.458335     0.514167     0.514167
     0.947500     0.455400     0.511145     0.511145
     0.948000     0.452476     0.508131     0.508131
     0.948500     0.449523     0.505080     0.505080
     0.949000     0.447786     0.503394     0.503394
     0.949500     0.445657     0.501264     0.501264
     0.950000     0.442753     0.498261     0.498261
     0.950500     0.439767     0.495161     0.495161
     0.951000     0.436713     0.491980     0.491980
     0.951500     0.433679     0.488819     0.488819
     0.952000     0.430680     0.485694     0.485694
     0.952500     0.427670     0.482553     0.482553
     0.953000     0.424761     0.479522     0.479522
     0.953500     0.421971     0.476623     0.476623
     0.954000     0.420064     0.474717     0.474717
     0.954500     0.417498     0.472065     0.472065
     0.955000     0.414388     0.468793     0.468793
     0.955500     0.411376     0.465630     0.465630
     0.956000     0.408367     0.462466     0.462466
     0.956500     0.405368     0.459310     0.459310
     0.957000     0.402230     0.455993     0.455993
     0.957500     0.399045     0.452619     0.452619
     0.958000     0.395970     0.449365     0.449365
     0.958500     0.393327     0.446599     0.446599
     0.959000     0.391335     0.444569     0.444569
     0.959500     0.388576     0.441664     0.441664
     0.960000     0.385379     0.438258     0.438258
     0.960500     0.382192     0.434860     0.434860
     0.961000     0.379053     0.431514     0.431514
     0.961500     0.375940     0.428193     0.428193
     0.962000     0.372897     0.424948     0.424948
     0.962500     0.369840     0.421683     0.421683
     0.963000     0.366715     0.418337     0.418337
     0.963500     0.363479     0.414861     0.414861
     0.964000     0.360388     0.411546     0.411546
     0.964500     0.358257     0.409325     0.409325
     0.965000     0.355891     0.406833     0.406833
     0.965500     0.352753     0.403454     0.403454
     0.966000     0.349576     0.400028     0.400028
     0.966500     0.346334     0.396523     0.396523
     0.967000     0.343375     0.393339     0.393339
     0.967500     0.340747     0.390530     0.390530
     0.968000     0.338684     0.388366     0.388366
     0.968500     0.335778     0.385232     0.385232
     0.969000     0.332581     0.381762     0.381762
     0.969500     0.329505     0.378426     0.378426
     0.970000     0.326488     0.375154     0.375154
     0.970500     0.324582     0.373157     0.373157
